Player	AVG.2013	AVG.2014
Adrian_Beltre	0.315	0.324
Michael_Bourn	0.263	0.257
Starlin_Castro	0.245	0.292
Shin-Soo_Choo	0.285	0.242
Zack_Cozart	0.254	0.221
John_Donaldson	0.301	0.255
Todd_Frazier	0.234	0.273
Longoria	0.269	0.253
Jed_Lowrie	0.29	0.249
David_Ortiz	0.309	0.263
Buster_Posey	0.294	0.311
Jean_Segura	0.294	0.246
