AGE	OBP	SLG
20	0.338	0.336
21	0.42	0.399
22	0.408	0.437
23	0.398	0.382
24	0.414	0.421
25	0.399	0.458
26	0.419	0.516
27	0.358	0.469
28	0.423	0.497
29	0.394	0.399
30	0.411	0.399
31	0.439	0.577
32	0.4	0.423
33	0.426	0.457
34	0.432	0.474
35	0.411	0.365
36	0.407	0.447
37	0.41	0.344
38	0.4	0.342
39	0.376	0.347
40	0.423	0.466
41	0.368	0.305
42	0.366	0.351
