Team	R.G	AVG	SLG	OPS
ARI	3.8	0.248	0.376	0.678
ATL	3.54	0.241	0.36	0.665
CHN	3.79	0.239	0.385	0.685
CIN	3.67	0.238	0.365	0.661
COL	4.66	0.276	0.445	0.772
LAN	4.43	0.265	0.406	0.739
MIA	3.98	0.253	0.378	0.695
MIL	4.01	0.25	0.397	0.708
NYN	3.88	0.239	0.364	0.672
PHI	3.82	0.242	0.363	0.665
IT	4.21	0.259	0.404	0.734
SDN	3.3	0.226	0.342	0.634
SFN	4.1	0.255	0.388	0.699
SLN	3.82	0.253	0.369	0.689
WAS	4.23	0.253	0.393	0.714
